"doi","date","times.cited"
"10.1128/AEM.01813-09","2010-03",3
"10.1128/AEM.02014-09","2010-03",35
"10.1128/AEM.01988-09","2010-03",44
"10.1128/AEM.02039-09","2010-03",41
"10.1128/JB.01267-09","2010-03",21
"10.1128/JB.01423-09","2010-03",24
"10.1128/JB.01497-09","2010-03",27
"10.1128/JB.01539-09","2010-03",34
"10.1128/JB.01627-09","2010-03",38
"10.1128/AAC.00367-09","2010-03",67
"10.1128/AAC.00399-09","2010-03",11
"10.1128/AAC.01338-09","2010-03",52
"10.1128/AAC.01347-09","2010-04",35
"10.1128/AAC.01473-09","2010-03",18
"10.1128/AAC.01498-09","2010-03",14
"10.1128/AAC.01596-09","2010-03",91
"10.1128/IAI.00278-09","2010-03",13
"10.1128/IAI.00849-09","2010-03",18
"10.1128/IAI.00905-09","2010-03",56
"10.1128/IAI.00921-09","2010-03",7
"10.1128/IAI.01049-09","2010-03",21
"10.1128/AAC.00614-09","2010-03",13
"10.1128/AAC.00820-09","2010-03",10
"10.1128/AAC.01311-09","2010-03",76
"10.1128/IAI.01085-09","2010-03",23
"10.1128/IAI.01192-09","2010-03",16
"10.1128/EC.00263-09","2010-03",19
"10.1128/MCB.01225-09","2010-03",16
"10.1128/MCB.01229-09","2010-03",18
"10.1128/AEM.01394-09","2010-03",62
"10.1128/AEM.01685-09","2010-03",15
"10.1128/MCB.01891-08","2010-03",75
"10.1128/AEM.01592-09","2010-03",14
"10.1128/AEM.01796-09","2010-03",22
"10.1128/AEM.01952-09","2010-03",52
"10.1128/AEM.02232-09","2010-03",8
"10.1128/AEM.02285-09","2010-02",88
"10.1128/JVI.01052-09","2010-03",10
"10.1128/JVI.01561-09","2010-03",4
"10.1128/JVI.01805-09","2010-03",29
"10.1128/JVI.01870-09","2010-03",29
"10.1128/JVI.01923-09","2010-03",32
"10.1128/JVI.01951-09","2010-03",10
"10.1128/JVI.02053-09","2010-03",31
"10.1128/JVI.02119-09","2010-03",16
"10.1128/JVI.02124-09","2010-03",12
"10.1128/JVI.02229-09","2010-03",28
"10.1128/JVI.02252-09","2010-04",64
"10.1128/JVI.02311-09","2010-03",24
"10.1128/JVI.02331-09","2010-03",13
"10.1128/JVI.02499-09","2010-03",34
"10.1128/JCM.00844-09","2010-03",9
"10.1128/JCM.01232-09","2010-03",140
"10.1128/JCM.01600-09","2010-04",7
"10.1128/JCM.01439-09","2010-03",10
"10.1128/JCM.01664-09","2010-03",49
"10.1128/JCM.01699-09","2010-03",10
"10.1128/JCM.01815-09","2010-03",36
"10.1128/JCM.01829-09","2010-03",6
"10.1128/JCM.01897-09","2010-03",16
"10.1128/JCM.02021-09","2010-03",22
"10.1128/JCM.02071-09","2010-03",343
"10.1128/JCM.02086-09","2010-03",3
"10.1128/JCM.02198-09","2010-03",5
"10.1128/CVI.00287-09","2010-03",31
"10.1128/CVI.00412-09","2010-03",22
"10.1128/CVI.00418-09","2010-03",20
"10.1128/CVI.00413-09","2010-03",19
"10.1128/JCM.02168-09","2010-01",0
"10.1128/JCM.02106-09","2010-01",0
"10.1128/JVI.02512-09","2010-02",0
"10.1128/AEM.00824-09","2010-03",6
"10.1128/AEM.02470-09","2010-03",18
"10.1128/AEM.02816-09","2010-03",16
"10.1128/AEM.02706-09","2010-03",15
"10.1128/JB.01335-09","2010-03",5
"10.1128/JB.01394-09","2010-03",18
"10.1128/JB.01427-09","2010-03",24
"10.1128/JB.01429-09","2010-03",32
"10.1128/JB.01517-09","2010-03",53
"10.1128/EC.00353-09","2010-03",9
"10.1128/JCM.01131-09","2010-04",1
"10.1128/JCM.01112-09","2010-03",59
"10.1128/JCM.01661-09","2010-03",5
"10.1128/JCM.02011-09","2010-03",8
"10.1128/JCM.01996-09","2010-03",3
"10.1128/JCM.02045-09","2010-03",42
"10.1128/JCM.02295-09","2010-03",13
"10.1128/CVI.00283-09","2010-03",6
"10.1128/CVI.00347-09","2010-03",26
"10.1128/CVI.00430-09","2010-03",40
"10.1128/CVI.00475-09","2010-03",24
"10.1128/JB.00904-09","2010-04",15
"10.1128/JB.01378-09","2010-03",25
"10.1128/JB.01401-09","2010-03",24
"10.1128/JB.01536-09","2010-03",43
"10.1128/IAI.00887-09","2010-04",42
"10.1128/IAI.00996-09","2010-04",23
"10.1128/IAI.01134-09","2010-04",43
"10.1128/IAI.01159-09","2010-04",20
"10.1128/MCB.00952-09","2010-04",25
"10.1128/MCB.01661-09","2010-03",20
"10.1128/AAC.01022-09","2010-04",4
"10.1128/AAC.01361-09","2010-04",41
"10.1128/AAC.01364-09","2010-04",37
"10.1128/AAC.01399-09","2010-04",17
"10.1128/AAC.01495-09","2010-04",3
"10.1128/AAC.01637-09","2010-04",35
"10.1128/AAC.01788-09","2010-04",27
"10.1128/JVI.01320-09","2010-04",62
"10.1128/JVI.01503-09","2010-04",7
"10.1128/JVI.01638-09","2010-04",34
"10.1128/JVI.01782-09","2010-04",12
"10.1128/JVI.02020-09","2010-04",11
"10.1128/JVI.01939-09","2010-04",11
"10.1128/JVI.02374-09","2010-04",25
"10.1128/JVI.02380-09","2010-04",15
"10.1128/JVI.02544-09","2010-04",48
"10.1128/JVI.02570-09","2010-04",14
"10.1128/JVI.02617-09","2010-04",34
"10.1128/CVI.00387-09","2010-04",9
"10.1128/CVI.00395-09","2010-03",11
"10.1128/CVI.00423-09","2010-04",14
"10.1128/CVI.00435-09","2010-03",71
"10.1128/CVI.00443-09","2010-04",25
"10.1128/JCM.01442-09","2010-04",13
"10.1128/JCM.01576-09","2010-04",15
