"batch","id","ut","doi","pmid","times.cited","source","year_month"
0,30,"WOS:000329231700001","10.3389/fnhum.2013.00880",24385961,12,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000329231700001&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2013-12"
0,28,"WOS:000333248100001","10.3389/fncir.2014.00028",24715856,11,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000333248100001&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-03"
0,22,"WOS:000344794200015","10.1111/cobi.12308",24820139,5,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000344794200015&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-12"
0,29,"WOS:000336091700011","10.1093/mp/ssu003",24482436,30,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000336091700011&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-05"
0,24,"WOS:000337870800011","10.1021/sb400203p",24670245,20,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000337870800011&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-06"
0,25,"WOS:000363729100012","10.1111/cobi.12561",26171762,4,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000363729100012&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2015-10"
0,27,"WOS:000336858300007","10.1371/journal.pone.0097272",24869488,5,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000336858300007&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-05"
0,20,"WOS:000348069700008","10.1242/bio.20148409",24950969,11,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000348069700008&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-06"
0,21,"WOS:000333765300007","10.1016/j.ajhg.2014.03.004",24702953,73,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000333765300007&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-04"
0,48,"WOS:000350050200023","10.1093/molbev/msu269",25246699,15,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000350050200023&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2015-01"
0,49,"WOS:000342719100021","10.1038/NMETH.3069",25128977,26,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000342719100021&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-10"
0,46,"WOS:000347993600033","10.1371/journal.pone.0106541",25192173,1,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000347993600033&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-09"
0,47,"WOS:000357434900004","10.1038/onc.2014.279",25195860,2,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000357434900004&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2015-07"
0,44,"WOS:000345627300011","10.1371/journal.pbio.1002000",25405475,26,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000345627300011&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-11"
0,45,"WOS:000330235100066","10.1371/journal.pone.0085203",24454820,7,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000330235100066&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-01"
0,42,"WOS:000362846600011","10.1093/bioinformatics/btv363",26085503,4,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000362846600011&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2015-10"
0,40,"WOS:000338133300006","10.1093/sysbio/syu018",24627183,51,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000338133300006&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-07"
0,41,"WOS:000358527100010","10.1038/mp.2014.99",25224261,5,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000358527100010&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2015-08"
0,1,"WOS:000336884500010","10.1038/nrg3723",24805122,56,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000336884500010&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-06"
0,0,"WOS:000341577800002","10.1371/journal.pgen.1004412",25102153,65,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000341577800002&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-08"
0,2,"WOS:000332165100039","10.1038/nature12904",24402228,35,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000332165100039&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-02"
0,5,"WOS:000344628300020","10.1016/j.ejca.2014.08.019",25306188,4,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000344628300020&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-11"
0,4,"WOS:000338847700028","10.1371/journal.pgen.1004410",24967630,26,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000338847700028&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-06"
0,7,"WOS:000336682400001","10.1186/1471-2164-15-398",24886216,5,"http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000336682400001&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=cc40378bfc9614a14500fbd6db90869f","2014-05"
